Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.2968125 0.0 -42.3927 6.95447 -18.6713 336.34 -2722.76 335.23 -2717.47 0.0 335.23 -2717.47 -8.17286 -42.3927 -2432.8057 -4.28722 -4.28722
0 1 -7.067545 0.0 -37.5697 7.28496 -20.509 336.34 -2722.76 335.168 -2722.41 0.0 335.168 -2722.41 -5.23794 -37.5697 -2430.0496 -2.97489 -2.97489
0 2 -7.043988 0.0 -39.1165 7.27964 -21.6793 336.34 -2722.76 335.231 -2720.91 0.0 335.231 -2720.91 -3.17279 -39.1165 -2427.9683 -2.10168 -2.10168
0 3 -6.382955 0.0 -25.3566 7.16191 -20.1364 336.34 -2722.76 335.097 -2729.81 0.0 335.097 -2729.81 -5.01814 -25.3566 -2425.088 0.865447 0.865447
0 4 -7.227504 0.0 -43.056 6.9505 -20.0535 336.34 -2722.76 335.359 -2716.9 0.0 335.359 -2716.9 1.56824 -43.056 -2423.0288 4.44453 4.44453
0 5 -7.1506085 0.0 -46.8059 6.9016 -21.3702 336.34 -2722.76 334.939 -2710.59 0.0 334.939 -2710.59 -0.437077 -46.8059 -2422.894 -0.345467 -0.345467
1 0 -7.41729 0.0 -40.7564 6.83394 -19.6377 336.34 -2722.76 333.36 -2720.23 0.0 333.36 -2720.23 -5.05482 -40.7564 -2432.6812 -5.17685 -5.17685
1 1 -7.0987735 0.0 -37.9196 6.78561 -21.5656 336.34 -2722.76 333.164 -2721.11 0.0 333.164 -2721.11 -6.31321 -37.9196 -2432.179 -6.34764 -6.34764
1 2 -7.233997 0.0 -42.1669 6.79963 -24.5535 336.34 -2722.76 333.416 -2720.11 0.0 333.416 -2720.11 -1.4512 -42.1669 -2430.3123 -4.37014 -4.37014
1 3 -7.122549 0.0 -38.4556 6.81038 -20.303 336.34 -2722.76 333.281 -2719.55 0.0 333.281 -2719.55 -4.69319 -38.4556 -2429.4177 -2.61982 -2.61982
1 4 -7.495772 0.0 -44.5259 6.99779 -22.9472 336.34 -2722.76 333.43 -2718.85 0.0 333.43 -2718.85 1.22455 -44.5259 -2428.7214 -3.27945 -3.27945
1 5 -6.859632 0.0 -34.5621 6.77718 -21.4527 336.34 -2722.76 333.35 -2722.58 0.0 333.35 -2722.58 -4.43841 -34.5621 -2428.2305 -0.915434 -0.915434
1 6 -7.126616 0.0 -38.5674 6.98481 -20.7575 336.34 -2722.76 333.379 -2719.78 0.0 333.379 -2719.78 -2.77527 -38.5674 -2427.744 -1.98863 -1.98863
1 7 -7.065408 0.0 -37.851 6.76686 -22.0101 336.34 -2722.76 333.31 -2721.37 0.0 333.31 -2721.37 -1.75498 -37.851 -2427.666 -2.04518 -2.04518
1 8 -7.190361 0.0 -39.5098 6.98647 -20.7664 336.34 -2722.76 333.54 -2719.62 0.0 333.54 -2719.62 -1.53555 -39.5098 -2427.1255 -2.50884 -2.50884
2 0 -7.271822 0.0 -38.7717 7.10087 -21.2767 336.34 -2722.76 333.724 -2722.71 0.0 333.724 -2722.71 -4.78989 -38.7717 -2432.5474 -4.17574 -4.17574
2 1 -7.208892 0.0 -39.18 7.1222 -22.1641 336.34 -2722.76 333.682 -2721.84 0.0 333.682 -2721.84 -4.11078 -39.18 -2431.4487 -5.18835 -5.18835
2 2 -7.119825 0.0 -37.889 6.85557 -20.8833 336.34 -2722.76 333.888 -2721.83 0.0 333.888 -2721.83 -5.0151 -37.889 -2430.8462 -2.65683 -2.65683
2 3 -7.0809774 0.0 -37.7058 6.85284 -20.9034 336.34 -2722.76 333.938 -2721.58 0.0 333.938 -2721.58 -4.89201 -37.7058 -2430.24 -1.67436 -1.67436
2 4 -7.3153224 0.0 -41.8162 6.86018 -23.052 336.34 -2722.76 333.878 -2721.1 0.0 333.878 -2721.1 -1.14172 -41.8162 -2430.1802 -3.56424 -3.56424
2 5 -6.5263786 0.0 -27.9933 6.91262 -19.7962 336.34 -2722.76 333.95 -2726.35 0.0 333.95 -2726.35 -5.87474 -27.9933 -2426.268 0.798971 0.798971
2 6 -7.031829 0.0 -35.2122 7.27786 -20.5404 336.34 -2722.76 333.827 -2723.44 0.0 333.827 -2723.44 -1.33956 -35.2122 -2426.1648 2.41402 2.41402
2 7 -6.6600523 0.0 -31.2878 6.93428 -19.9933 336.34 -2722.76 333.83 -2723.42 0.0 333.83 -2723.42 -1.97529 -31.2878 -2422.853 4.12304 4.12304
2 8 -6.442333 0.0 -28.0833 7.12075 -19.3204 336.34 -2722.76 333.84 -2723.87 0.0 333.84 -2723.87 -2.9645 -28.0833 -2421.078 3.56466 3.56466
2 9 -5.5281105 0.0 -17.8948 6.70322 -20.6491 336.34 -2722.76 333.604 -2726.29 0.0 333.604 -2726.29 -1.86961 -17.8948 -2412.4504 9.49648 9.49648
3 0 -7.1175466 0.0 -40.0909 6.91008 -20.9391 336.34 -2722.76 333.771 -2718.18 0.0 333.771 -2718.18 -7.44875 -40.0909 -2431.9485 -4.28626 -4.28626
3 1 -6.9015517 0.0 -37.3638 6.83474 -20.1955 336.34 -2722.76 333.513 -2717.84 0.0 333.513 -2717.84 -5.70871 -37.3638 -2427.3997 -2.64374 -2.64374
3 2 -6.8211727 0.0 -36.5066 6.71945 -20.5418 336.34 -2722.76 333.703 -2718.67 0.0 333.703 -2718.67 -5.62116 -36.5066 -2427.0947 -1.68503 -1.68503
3 3 -6.9115214 0.0 -39.022 7.07434 -20.4763 336.34 -2722.76 333.804 -2715.8 0.0 333.804 -2715.8 -4.44157 -39.022 -2425.4597 -2.11562 -2.11562
3 4 -6.8915763 0.0 -40.3694 7.03595 -22.6159 336.34 -2722.76 333.752 -2715.51 0.0 333.752 -2715.51 -2.2472 -40.3694 -2424.3748 -1.61868 -1.61868
3 5 -6.0035853 0.0 -25.7327 6.9438 -20.0346 336.34 -2722.76 334.188 -2721.86 0.0 334.188 -2721.86 -7.1484 -25.7327 -2420.5532 3.52884 3.52884
3 6 -5.8477077 0.0 -27.9147 7.29857 -20.3149 336.34 -2722.76 333.792 -2715.06 0.0 333.792 -2715.06 1.73043 -27.9147 -2407.4524 12.8007 12.8007
4 0 -7.1177955 0.0 -36.1641 6.8309 -21.4724 336.34 -2722.76 333.739 -2724.86 0.0 333.739 -2724.86 -3.42056 -36.1641 -2430.7058 -1.91526 -1.91526
4 1 -7.1177955 0.0 -36.1641 6.8309 -21.4724 336.34 -2722.76 333.739 -2724.86 0.0 333.739 -2724.86 -3.42056 -36.1641 -2430.7058 -1.91526 -1.91526
4 2 -6.6875124 0.0 -31.0374 6.84451 -21.9446 336.34 -2722.76 333.781 -2726.27 0.0 333.781 -2726.27 -2.69991 -31.0374 -2426.2263 0.376386 0.376386
4 3 -6.686268 0.0 -31.0296 6.84495 -21.9451 336.34 -2722.76 333.78 -2726.26 0.0 333.78 -2726.26 -2.70955 -31.0296 -2426.2192 0.374938 0.374938
4 4 -6.686268 0.0 -31.0296 6.84495 -21.9451 336.34 -2722.76 333.78 -2726.26 0.0 333.78 -2726.26 -2.70955 -31.0296 -2426.2192 0.374938 0.374938
4 5 -6.686268 0.0 -31.0296 6.84495 -21.9451 336.34 -2722.76 333.78 -2726.26 0.0 333.78 -2726.26 -2.70955 -31.0296 -2426.2192 0.374938 0.374938
4 6 -6.686268 0.0 -31.0296 6.84495 -21.9451 336.34 -2722.76 333.78 -2726.26 0.0 333.78 -2726.26 -2.70955 -31.0296 -2426.2192 0.374938 0.374938
4 7 -6.686268 0.0 -31.0296 6.84495 -21.9451 336.34 -2722.76 333.78 -2726.26 0.0 333.78 -2726.26 -2.70955 -31.0296 -2426.2192 0.374938 0.374938
5 0 -7.4194984 0.0 -44.5606 6.78818 -22.7476 336.34 -2722.76 333.647 -2718.01 0.0 333.647 -2718.01 -1.67922 -44.5606 -2430.6028 -4.23335 -4.23335
5 1 -7.3372593 0.0 -40.754 6.73901 -20.1188 336.34 -2722.76 333.364 -2719.56 0.0 333.364 -2719.56 -2.84245 -40.754 -2429.7925 -1.50063 -1.50063
6 0 -6.906724 0.0 -37.7527 6.96451 -19.8016 336.34 -2722.76 335.668 -2720.06 0.0 335.668 -2720.06 -8.31843 -37.7527 -2430.4631 -1.39685 -1.39685
6 1 -6.755229 0.0 -34.4724 6.92386 -21.2333 336.34 -2722.76 335.073 -2723.23 0.0 335.073 -2723.23 -5.23124 -34.4724 -2427.8606 -0.69191 -0.69191
6 2 -6.367306 0.0 -27.5411 7.30451 -19.5552 336.34 -2722.76 335.63 -2726.2 0.0 335.63 -2726.2 -9.14073 -27.5411 -2427.252 0.799153 0.799153
6 3 -6.3074374 0.0 -23.4842 6.75398 -19.6072 336.34 -2722.76 335.07 -2731.53 0.0 335.07 -2731.53 -7.19071 -23.4842 -2427.1348 -0.735905 -0.735905
6 4 -6.4451594 0.0 -29.021 7.13381 -20.3021 336.34 -2722.76 335.866 -2726.56 0.0 335.866 -2726.56 -6.64797 -29.021 -2426.363 0.763438 0.763438
6 5 -6.670753 0.0 -33.6254 6.81985 -22.1778 336.34 -2722.76 335.465 -2724.87 0.0 335.465 -2724.87 -2.20427 -33.6254 -2425.2346 1.11075 1.11075
6 6 -6.5416555 0.0 -29.2708 6.76989 -19.9016 336.34 -2722.76 335.379 -2727.16 0.0 335.379 -2727.16 -4.02865 -29.2708 -2425.0806 1.62795 1.62795
