Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -8.742113 0.0 -61.0048 8.15557 -11.0666 232.458 -1699.15 229.501 -1676.39 0.0 229.501 -1676.39 3.7939 -61.0048 -1504.1 -13.1309 -13.1309
0 1 -8.328853 0.0 -53.1613 8.39042 -11.9566 232.458 -1699.15 229.599 -1682.44 0.0 229.599 -1682.44 4.06245 -53.1613 -1501.9398 -14.4713 -14.4713
0 2 -7.6836886 0.0 -46.7743 8.30258 -10.9089 232.458 -1699.15 229.438 -1680.61 0.0 229.438 -1680.61 2.6274 -46.7743 -1495.3188 -7.92727 -7.92727
0 3 -7.8186464 0.0 -48.0062 8.29136 -11.2249 232.458 -1699.15 229.267 -1680.98 0.0 229.267 -1680.98 4.4408 -48.0062 -1495.2784 -7.35243 -7.35243
0 4 -8.304517 0.0 -55.1403 8.30553 -11.6967 232.458 -1699.15 229.402 -1678.55 0.0 229.402 -1678.55 12.1437 -55.1403 -1492.1447 -3.13728 -3.13728
0 5 -8.1090555 0.0 -53.0685 8.32738 -11.4367 232.458 -1699.15 229.457 -1678.35 0.0 229.457 -1678.35 13.9042 -53.0685 -1488.0573 -1.52887 -1.52887
0 6 -7.78725 0.0 -50.9568 7.96388 -10.7511 232.458 -1699.15 229.365 -1676.09 0.0 229.365 -1676.09 12.3071 -50.9568 -1485.3746 -0.236905 -0.236905
0 7 -7.7453804 0.0 -48.3037 8.17951 -11.7305 232.458 -1699.15 229.279 -1680.02 0.0 229.279 -1680.02 19.2115 -48.3037 -1479.8331 5.03634 5.03634
1 0 -8.228163 0.0 -55.7646 8.05784 -11.2565 232.458 -1699.15 229.072 -1675.77 0.0 229.072 -1675.77 6.57311 -55.7646 -1495.8895 -7.82756 -7.82756
1 1 -7.430361 0.0 -45.2928 8.58483 -12.0119 232.458 -1699.15 229.278 -1679.18 0.0 229.278 -1679.18 7.78021 -45.2928 -1487.4147 -1.40306 -1.40306
1 2 -7.479279 0.0 -45.5022 8.11535 -10.5428 232.458 -1699.15 229.173 -1678.75 0.0 229.173 -1678.75 9.00188 -45.5022 -1486.0774 -2.71682 -2.71682
1 3 -7.715969 0.0 -47.7754 8.19255 -10.1878 232.458 -1699.15 229.264 -1678.77 0.0 229.264 -1678.77 11.6447 -47.7754 -1485.6367 -0.946993 -0.946993
1 4 -7.8810716 0.0 -54.3545 8.00888 -13.2912 232.458 -1699.15 229.047 -1674.35 0.0 229.047 -1674.35 20.7706 -54.3545 -1478.8868 6.57806 6.57806
1 5 -5.9461303 0.0 -28.6726 8.43653 -12.8512 232.458 -1699.15 229.765 -1682.44 0.0 229.765 -1682.44 23.4864 -28.6726 -1457.8611 32.7174 32.7174
2 0 -6.8347335 0.0 -30.6664 8.10005 -10.2401 232.458 -1699.15 231.585 -1694.6 0.0 231.585 -1694.6 -1.77262 -30.6664 -1495.454 2.84469 2.84469
2 1 -7.164423 0.0 -36.5228 8.21881 -12.1649 232.458 -1699.15 232.073 -1693.43 0.0 232.073 -1693.43 6.02935 -36.5228 -1491.8505 7.60402 7.60402
2 2 -7.0226502 0.0 -35.7534 8.26147 -12.6154 232.458 -1699.15 232.23 -1692.93 0.0 232.23 -1692.93 6.98462 -35.7534 -1489.4689 9.23167 9.23167
2 3 -6.795773 0.0 -33.651 8.14713 -13.6707 232.458 -1699.15 232.738 -1694.49 0.0 232.738 -1694.49 8.72838 -33.651 -1486.6746 12.6811 12.6811
3 0 -6.925438 0.0 -32.976 8.21338 -10.9888 232.458 -1699.15 231.892 -1693.56 0.0 231.892 -1693.56 -0.652148 -32.976 -1495.2963 1.58766 1.58766
