Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
0             0             +266.067      +740.851      +318.101      +41.4372      -1778.78      -302.651      +1366.46      -2081.43      -714.973      
1             1             +252.197      +758.515      +312.179      +49.0457      -1730.55      -291.615      +1371.94      -2022.17      -650.229      
2             2             +242.702      +741.838      +298.693      +44.4598      -1746.74      -298.948      +1327.69      -2045.69      -717.998      
3             3             +231.82       +720.879      +307.514      +40.4661      -1768.62      -297.647      +1300.68      -2066.27      -765.588      
4             4             +250.985      +730.249      +326.584      +43.805       -1781.64      -288.773      +1351.62      -2070.41      -718.787      
5             5             +247.55       +705.555      +316.426      +38.696       -1755.17      -299.019      +1308.23      -2054.19      -745.962      
6             6             +229.072      +715.732      +316.318      +39.4588      -1747.3       -302.745      +1300.58      -2050.05      -749.464      
7             7             +248.382      +723.71       +323.029      +42.9756      -1724.6       -312.003      +1338.1       -2036.6       -698.502      
8             8             +257.179      +711.302      +323.807      +46.6628      -1748.12      -312.379      +1338.95      -2060.5       -721.546      
9             9             +246.835      +742.156      +319.386      +46.3234      -1737.29      -322.85       +1354.7       -2060.14      -705.437      
10            10            +235.013      +699.389      +296.41       +50.8834      -1705.26      -316.245      +1281.7       -2021.51      -739.813      
11            11            +216.28       +726.446      +311.179      +38.1071      -1701.57      -317.074      +1292.01      -2018.64      -726.626      
12            12            +246.178      +733.011      +297.705      +42.7287      -1769.89      -292.955      +1319.62      -2062.85      -743.226      
13            13            +232.827      +748.154      +307.829      +46.1028      -1759.49      -289.301      +1334.91      -2048.79      -713.876      
14            14            +240.108      +717.863      +328.464      +43.366       -1744.16      -290.849      +1329.8       -2035         -705.204      
15            15            +238.728      +726.924      +314.379      +43.2183      -1769.29      -281.607      +1323.25      -2050.9       -727.649      
16            16            +236.725      +773.196      +318.227      +44.5501      -1752.28      -284.259      +1372.7       -2036.54      -663.837      
17            17            +211.56       +752.102      +299.023      +44.9382      -1734.83      -282.829      +1307.62      -2017.66      -710.038      
18            18            +249.683      +714.716      +324.177      +46.729       -1789.97      -273.805      +1335.3       -2063.77      -728.468      
19            19            +246.319      +746.276      +324.714      +35.66        -1800.67      -320.804      +1352.97      -2121.47      -768.503      
20            20            +232.571      +755.62       +306.43       +40.2868      -1790.64      -290.681      +1334.91      -2081.32      -746.415      
21            21            +281.678      +709.079      +321.278      +47.5573      -1735.46      -299.591      +1359.59      -2035.06      -675.464      
22            22            +228.623      +738.027      +307.114      +45.6079      -1761.15      -302.125      +1319.37      -2063.27      -743.901      
23            23            +261.748      +701.944      +333.061      +46.5053      -1737.27      -296.173      +1343.26      -2033.44      -690.181      
24            24            +248.302      +722.225      +322.601      +49.3033      -1751.61      -292.402      +1342.43      -2044.01      -701.578      
25            25            +230.926      +740.834      +307.846      +48.3287      -1740.17      -301.791      +1327.93      -2041.96      -714.022      
26            26            +225.622      +739.264      +317.525      +38.5503      -1782.09      -290.103      +1320.96      -2072.19      -751.23       
27            27            +238.693      +739.398      +313.513      +46.6067      -1761.21      -301.544      +1338.21      -2062.75      -724.539      
28            28            +234.47       +712.73       +307.479      +40.2815      -1738.61      -284.356      +1294.96      -2022.97      -728.01       
29            29            +258.626      +737.797      +300.621      +34.3035      -1771.41      -292.702      +1331.35      -2064.12      -732.769      
30            30            +243.997      +715.032      +301.789      +45.4278      -1767.77      -321.233      +1306.25      -2089.01      -782.76       
31            31            +240.427      +722.307      +320.265      +54.5069      -1775.62      -294.901      +1337.51      -2070.52      -733.01       
32            32            +253.674      +716.899      +302.113      +42.9745      -1766.88      -304.142      +1315.66      -2071.02      -755.36       
33            33            +244.382      +709.912      +306.581      +43.7223      -1787.75      -285.084      +1304.6       -2072.84      -768.238      
34            34            +234.935      +703.48       +316.73       +42.9708      -1759.06      -310.223      +1298.12      -2069.28      -771.163      
35            35            +222.681      +719.134      +323.079      +42.2302      -1770.87      -298.595      +1307.12      -2069.46      -762.337      
36            36            +255.929      +689.932      +321.821      +39.969       -1768.12      -303.325      +1307.65      -2071.45      -763.8        
37            37            +259.881      +730.844      +300.897      +40.2241      -1749.67      -309.435      +1331.85      -2059.1       -727.259      
